head,冂,"""This is the kind of <span class=""""radical-highlight"""" title=""""Radical"""" rel=""""tooltip"""">head</span> a child might draw—can you imagine it with eyes, nose, mouth, and ears too? Whoever's head this is, it's really square. Maybe it's the head of a famous cartoon spongeman. Hmm.""",,98,level2 radical
heaven,天,"""There is a two radical and a person radical. The first level of a person's life is on earth. The second level (this level, which is why there's a two radical here) is in heaven. So when you see a person at level 2, you know they're in <span class=""""radical-highlight"""" title=""""Radical"""" rel=""""tooltip"""">heaven</span>.""",,99,level2 radical
king,王,"""This radical is not something anyone can have. Only a <span class=""""radical-highlight"""" title=""""Radical"""" rel=""""tooltip"""">king</span> can wear this crown upon his head. This radical is the sign of kings. Imagine your favorite king wearing this on their head. It's a pretty distinctive shape—I think you can do it.""",,100,level2 radical
legs,儿,"""This radical already looks like a pair of <span class=""""radical-highlight"""" title=""""Radical"""" rel=""""tooltip"""">legs</span>. There's even feet on these legs (unlike the fins radical, which you learned earlier). That's how you know these are legs and not fins (or something else).""",,101,level2 radical
middle,中,"""There's a stick going right through the <span class=""""radical-highlight"""" title=""""Radical"""" rel=""""tooltip"""">middle</span> of someone's mouth! Imagine that mouth being yours. Measure the placement of the stick. Perfectly aligned, right in the middle. That's amazing, though to be honest, you probably have bigger problems than measuring the location of this stick in your mouth.""",,102,level2 radical
moon,月,"""The <span class=""""radical-highlight"""" title=""""Radical"""" rel=""""tooltip"""">moon</span> is actually made of the sun, but it has little legs coming off of it leaning towards the left. Why? Because the moon is always running away from the sun as fast as it can. It doesn't want to get caught on fire, so it has to run to stay ahead!""",,103,level2 radical
narwhal,ナ,"""This radical looks like the katakana character <span lang=""""ja"""">ナ</span> (na), which we're going to say stands for <span class=""""radical-highlight"""" title=""""Radical"""" rel=""""tooltip"""">narwhal</span>. Plus, this radical kind of looks like a narwhal, right? The body and head on the bottom, and the single majestic narwhal horn coming out the top, shooting up out of the water and into the air. Oh, and don't confuse this radical with treasure. The sideways line for narwhal (<span lang=""""ja"""">ナ</span>) is horizontal, the sideways line for treasure is at more of a downward angle (<span lang=""""ja"""">メ</span>), like an """"X.""""""",,104,level2 radical
private,ム,"""This is a little triangle that's almost completely closed off. When you want to be alone, you hide in a place where you can be in <span class=""""radical-highlight"""" title=""""Radical"""" rel=""""tooltip"""">private</span>. That's why this is the private radical. You're closing yourself off to the rest of the world, with just a little peephole.""",,105,level2 radical
rice paddy,田,"""Rice paddies are made up of fields with irrigation lines going between them. See the four rice paddies with water flowing between and around them? That's why this radical is <span class=""""radical-highlight"""" title=""""Radical"""" rel=""""tooltip"""">rice paddy</span>.""",,106,level2 radical
small,小,"""You have fins and you have a barb. A fish that you can stick an entire barb through like this would have to be really <span class=""""radical-highlight"""" title=""""Radical"""" rel=""""tooltip"""">small</span>, since it's sticking through the whole fish body (which you can imagine by basing the body off the size of the fins compared to the already small barb.)""",,107,level2 radical
