REFOLD_INDEX,WORD,READING,DEFINITION,WORD AUDIO
166,子,こ,child,[sound:JP1K_166_ko_word.mp3]
167,運動,うんどう,exercise (physical),[sound:JP1K_167_undou_word.mp3]
169,夢,ゆめ,dream,[sound:JP1K_169_yume_word.mp3]
170,不思議,ふしぎ,"wonder, mystery",[sound:JP1K_170_fushigi_word.mp3]
171,歌,うた,song,[sound:JP1K_171_uta_word.mp3]
172,上手,じょうず,"good (at), skilled",[sound:JP1K_172_jouzu_word.mp3]
173,絵,え,"drawing, painting, sketch",[sound:JP1K_173_e_word.mp3]
174,上手い,うまい,"good, skilled",[sound:JP1K_174_umai_word.mp3]
177,褒める,ほめる,to praise,[sound:JP1K_177_homeru_word.mp3]
179,眠る,ねむる,to sleep,[sound:JP1K_179_nemuru_word.mp3]
180,思う,おもう,to think,[sound:JP1K_180_omou_word.mp3]
181,綺麗,きれい,"clean, beautiful",[sound:JP1K_181_kirei_word.mp3]
182,花,はな,flower,[sound:JP1K_182_hana_word.mp3]
183,咲く,さく,to bloom,[sound:JP1K_183_saku_word.mp3]
184,桜,さくら,cherry blossom,[sound:JP1K_184_sakura_word.mp3]
185,春,はる,spring (season),[sound:JP1K_185_haru1_word.mp3]
186,公園,こうえん,park,[sound:JP1K_186_kouen_word.mp3]
187,夜,よる,night,[sound:JP1K_187_yoru_word.mp3]
188,風呂,ふろ,bath,[sound:JP1K_188_furo_word.mp3]
189,脱ぐ,ぬぐ,to take off (clothes),[sound:JP1K_189_nugu_word.mp3]
190,部屋,へや,room,[sound:JP1K_190_heya_word.mp3]
191,片付ける,かたづける,to organize,[sound:JP1K_191_katadukeru_word.mp3]
192,一人,ひとり,one person,[sound:JP1K_192_hitori_word.mp3]
193,食べる,たべる,to eat,[sound:JP1K_193_taberu_word.mp3]
194,全部,ぜんぶ,"all, entire, whole, altogether",[sound:JP1K_194_zenbu_word.mp3]
195,月,つき,moon,[sound:JP1K_195_tsuki_word.mp3]
196,服,ふく,clothes,[sound:JP1K_196_fuku1_word.mp3]
197,山,やま,mountain,[sound:JP1K_197_yama_word.mp3]
198,見える,みえる,"be able to see, to be in sight",[sound:JP1K_198_mieru_word.mp3]
199,今夜,こんや,"this evening, tonight",[sound:JP1K_199_konya_word.mp3]
200,優しい,やさしい,"kind, nice",[sound:JP1K_200_yasashii_word.mp3]
201,対する,たいする,relating to something,[sound:JP1K_201_taisuru_word.mp3]
202,厳しい,きびしい,strict,[sound:JP1K_202_kibishii_word.mp3]
205,頃,ころ,(approximate) time,[sound:JP1K_205_koro_word.mp3]
206,小学生,しょうがくせい,elementary school student,[sound:JP1K_206_shougakusei_word.mp3]
208,音,おと,"sound, noise",[sound:JP1K_208_oto_word.mp3]
209,雨,あめ,rain,[sound:JP1K_209_ame_word.mp3]
210,聞こえる,きこえる,"to be audible, can hear",[sound:JP1K_210_kikoeru_word.mp3]
211,海,うみ,"sea, ocean",[sound:JP1K_211_umi_word.mp3]
212,波,なみ,wave (ocean),[sound:JP1K_212_nami_word.mp3]
214,応援,おうえん,"to cheer for, to support",[sound:JP1K_214_ouen_word.mp3]
215,選手,せんしゅ,"player (sports), athlete",[sound:JP1K_215_senshu_word.mp3]
216,目指す,めざす,"to aim at (for, to do, to become)",[sound:JP1K_216_mezasu_word.mp3]
217,将来,しょうらい,future (near term),[sound:JP1K_217_shourai_word.mp3]
218,野球,やきゅう,baseball,[sound:JP1K_218_yakyuu_word.mp3]
219,物,もの,"item, thing",[sound:JP1K_219_mono1_word.mp3]
220,姉,あね,older sister,[sound:JP1K_220_ane_word.mp3]
222,自分,じぶん,oneself,[sound:JP1K_222_jibun_word.mp3]
223,高い,たかい,"high, tall; expensive",[sound:JP1K_223_takai_word.mp3]
224,選ぶ,えらぶ,"to choose, to select",[sound:JP1K_224_erabu_word.mp3]
225,間違う,まちがう,"to be incorrect, to be mistaken",[sound:JP1K_225_machigau_word.mp3]
226,答え,こたえ,"answer, reply, response",[sound:JP1K_226_kotae_word.mp3]
228,濡れる,ぬれる,to get wet,[sound:JP1K_228_nureru_word.mp3]
229,止まる,とまる,to come to a stop,[sound:JP1K_229_tomaru1_word.mp3]
230,雪,ゆき,snow,[sound:JP1K_230_yuki_word.mp3]
231,戦争,せんそう,war,[sound:JP1K_231_sensou_word.mp3]
232,世界,せかい,"the world, society",[sound:JP1K_232_sekai_word.mp3]
233,平和,へいわ,peace,[sound:JP1K_233_heiwa_word.mp3]
